Acc_date,Customer,Department,Sum,Payment_date,Exec_date,Responsible,Payment_time,Exec_time,month
2024-02-22,Бизнес-центр,ВИК,63520.64,2024-05-07,2024-05-07,Яблоков,75.0,75.0,2024-02
2024-03-01,АМС,ВИК,57168.0,2024-03-01,2024-03-01,Яблоков,0.0,0.0,2024-03
2024-04-08,АМС,ОСС,48001.52,2024-04-08,2024-11-01,Мишин,0.0,207.0,2024-04
2024-04-08,АСН ОП АСЯ,ОСС,9627.75,2024-06-03,2024-06-03,Мишин,56.0,56.0,2024-04
2024-04-10,АМС ОП АМВО,ОЭЗиС,32304.0,2024-04-10,2024-04-10,Яблоков,0.0,0.0,2024-04
2024-04-10,АМС ОП АМВО,ОЭЗиС,13450.0,2024-04-10,2024-04-10,Яблоков,0.0,0.0,2024-04
2024-04-10,УК АГ,ОЭЗиС,237689.53,2024-04-11,2024-05-07,Кузьмин,1.0,27.0,2024-04
2024-04-11,АСН ОП АСЯ,ОСС,16542.86,2024-04-11,2024-04-11,Мишин,0.0,0.0,2024-04
2024-04-15,ААВ,ВИК,4500.0,2024-04-15,2024-04-15,Яблоков,0.0,0.0,2024-04
2024-04-18,АМС ОП АМВО,ОЭЗиС,120255.36,2024-04-05,2024-06-04,Кузьмин,-13.0,47.0,2024-04
2024-04-18,АСН ОП АСЯ,ОЭЗиС,3888600.0,2024-04-25,,Кузьмин,7.0,,2024-04
2024-04-22,Апарт-отель,ВИК,1364953.37,2024-04-23,2024-04-22,Яблоков,1.0,0.0,2024-04
2024-04-23,Стандарт движения,ВИК,213546.4,2024-04-24,2024-05-27,Яблоков,1.0,34.0,2024-04
2024-04-25,АСН,ОСС,338400.0,2024-04-25,2024-04-25,Мишин,0.0,0.0,2024-04
2024-04-27,АСН ОП АСЯ,ОЭЗиС,2066400.0,2024-05-05,,Кузьмин,8.0,,2024-04
2024-05-06,АМС ОП АМВО,ОЭЗиС,7116.0,2024-05-06,2024-05-06,Кузьмин,0.0,0.0,2024-05
2024-05-06,АСН,ВИК,183380.0,2024-06-17,2024-05-06,Яблоков,42.0,0.0,2024-05
2024-05-07,Бизнес-центр,ОЭЗиС,30000.0,2024-06-14,2024-06-11,Басов,38.0,35.0,2024-05
2024-05-07,УК АГ,ОЭЗиС,237689.54,2024-06-04,2024-05-07,Кузьмин,28.0,0.0,2024-05
2024-05-27,Бизнес-центр,ОЭЗиС,143710.0,2024-07-26,2024-05-27,Басов,60.0,0.0,2024-05
2024-05-27,Стандарт движения,ВИК,63000.0,2024-06-10,2024-05-27,Яблоков,14.0,0.0,2024-05
2024-05-27,Тех,ВИК,216000.0,2024-06-20,2024-05-27,Яблоков,24.0,0.0,2024-05
2024-05-28,Бизнес-центр,ОЭЗиС,20000.0,2024-05-28,2024-05-28,Басов,0.0,0.0,2024-05
2024-05-29,АСН,ОСС,53378.0,2024-05-31,2024-05-31,Мишин,2.0,2.0,2024-05
2024-05-29,Сервер,ОСС,6000.0,2024-06-26,2024-05-31,Мишин,28.0,2.0,2024-05
2024-05-29,Сервер,ОЭЗиС,5980.0,2024-06-04,2024-05-29,Басов,6.0,0.0,2024-05
2024-05-29,Сервер,ОЭЗиС,3910.0,2024-06-04,2024-05-29,Басов,6.0,0.0,2024-05
2024-06-11,Апарт-отель,ВИК,1425999.9,2024-06-14,2024-06-11,Яблоков,3.0,0.0,2024-06
2024-06-03,Бизнес-центр,ОЭЗиС,34560.0,2024-06-07,2024-06-03,Басов,4.0,0.0,2024-06
2024-06-03,КМТ,ВИК,225200.0,2024-06-20,2024-06-03,Яблоков,17.0,0.0,2024-06
2024-06-04,АСН,ОЭЗиС,8000.0,2024-06-05,2024-06-04,Кузьмин,1.0,0.0,2024-06
2024-05-31,АМС ОП АМВО,ОЭЗиС,345236.51,2024-06-07,2024-05-31,Кузьмин,7.0,0.0,2024-05
2024-04-18,АМС,ОЭЗиС,94585.35,2024-06-26,2024-06-20,Кузьмин,69.0,63.0,2024-04
2024-06-07,Мельница,ОСС,30176.42,2024-06-10,2024-06-07,Мишин,3.0,0.0,2024-06
2024-05-31,Бизнес-центр,ВИК,456000.0,2024-06-12,2024-05-31,Яблоков,12.0,0.0,2024-05
2024-06-10,АСН ОП АСЯ,ОЭЗиС,875400.0,2024-06-13,,Кузьмин,3.0,,2024-06
2024-06-11,Бизнес-центр,ОЭЗиС,741500.0,2024-06-14,2024-07-18,Басов,3.0,37.0,2024-06
2024-06-11,Бизнес-центр,ВИК,512767.28,2024-06-14,2024-07-10,Яблоков,3.0,29.0,2024-06
2024-06-10,Бизнес-центр,ОЭЗиС,297900.98,2024-06-14,2024-06-10,Кузьмин,4.0,0.0,2024-06
2024-06-07,Бизнес-центр,ОЭЗиС,158068.76,2024-06-14,2024-06-10,Басов,7.0,3.0,2024-06
2024-06-18,УК АГ,ВИК,43812.77,2024-07-03,2024-06-18,Яблоков,15.0,0.0,2024-06
2024-06-18,АМС ОП АМВО,ВИК,84887.24,2024-06-21,2024-06-18,Яблоков,3.0,0.0,2024-06
2024-06-18,Мельница,ВИК,32550.0,2024-06-28,2024-06-25,Яблоков,10.0,7.0,2024-06
2024-06-18,АСН,ВИК,4500.0,2024-06-26,2024-06-18,Яблоков,8.0,0.0,2024-06
2024-06-18,АСН ОП АСЯ,ВИК,5500.0,2024-06-26,2024-06-18,Яблоков,8.0,0.0,2024-06
2024-06-21,АМС ОП АМВО,ОЭЗиС,1586000.0,2024-06-26,2024-07-19,Кузьмин,5.0,28.0,2024-06
2024-06-19,АМС,ОЭЗиС,63816.72,2024-06-26,2024-06-19,Кузьмин,7.0,0.0,2024-06
2024-06-24,АМС ОП АМВО,ОЭЗиС,89124.24,2024-06-28,2024-06-24,Кузьмин,4.0,0.0,2024-06
2024-06-24,АМС,ВИК,62500.0,2024-07-03,2024-07-08,Яблоков,9.0,14.0,2024-06
2024-06-24,Бизнес-центр,ОЭЗиС,38506.0,2024-08-02,2024-08-02,Басов,39.0,39.0,2024-06
2024-06-27,АСН ОП АСЯ,ОСС,60044.5,2024-06-28,2024-07-16,Мишин,1.0,19.0,2024-06
2024-06-27,АМС ОП АМВО,ОЭЗиС,46800.0,2024-06-28,2024-07-12,Кузьмин,1.0,15.0,2024-06
2024-07-01,ВО 24ая линия,ВИК,25500.0,2024-07-02,2024-07-08,Яблоков,1.0,7.0,2024-07
2024-07-03,Формула,ВИК,43147.77,2024-07-22,2024-09-04,Яблоков,19.0,63.0,2024-07
2024-06-30,Апарт-отель,ВИК,2120904.24,2024-07-09,,Яблоков,9.0,,2024-06
2024-07-03,КМТ,ВИК,56562.5,2024-07-10,2024-07-10,Яблоков,7.0,7.0,2024-07
2024-07-08,АМС,ОЭЗиС,45600.0,2024-07-10,2024-07-08,Яблоков,2.0,0.0,2024-07
2024-07-08,АМС,ВИК,49250.0,2024-07-10,2024-07-08,Яблоков,2.0,0.0,2024-07
2024-07-09,Апарт-отель,ВИК,6100967.84,2024-07-10,,Яблоков,1.0,,2024-07
2024-07-09,Апарт-отель,ВИК,2549084.22,2024-07-10,,Яблоков,1.0,,2024-07
2024-07-09,АМС,ВИК,138000.0,2024-07-16,2024-07-09,Яблоков,7.0,0.0,2024-07
2024-07-10,Бизнес-центр,ВИК,113400.0,2024-07-16,2024-07-10,Яблоков,6.0,0.0,2024-07
2024-07-12,Формула,ОЭЗиС,8750.0,2024-08-30,2024-08-30,Басов,49.0,49.0,2024-07
2024-07-12,Бизнес-центр,ОЭЗиС,55467.8,2024-08-17,2024-08-15,Басов,36.0,34.0,2024-07
2024-07-17,Бизнес-центр,ОЭЗиС,1058672.27,2024-07-23,2024-07-17,Басов,6.0,0.0,2024-07
2024-07-18,АМС ОП АМВО,ВИК,20438.0,2024-07-23,2024-08-08,Яблоков,5.0,21.0,2024-07
2024-07-18,Формула,ОЭЗиС,128685.3,2024-08-30,2024-09-04,Яблоков,43.0,48.0,2024-07
2024-07-19,АМС ОП АМВО,ОЭЗиС,496997.78,2024-07-25,2024-07-19,Кузьмин,6.0,0.0,2024-07
2024-07-19,Бизнес-центр,ОЭЗиС,34560.0,2024-07-31,2024-07-22,Кузьмин,12.0,3.0,2024-07
2024-07-17,АСН,ОСС,190800.0,2024-07-30,2024-09-13,Мишин,13.0,58.0,2024-07
2024-07-22,АСН,ОСС,54018.4,2024-07-30,2024-09-13,Мишин,8.0,53.0,2024-07
2024-07-23,Бизнес-центр,ВИК,22000.0,2024-08-09,2024-08-09,Яблоков,17.0,17.0,2024-07
2024-07-17,АСН,ОСС,180000.0,2024-07-30,2024-09-13,Мишин,13.0,58.0,2024-07
2024-07-17,АСН,ОСС,356400.0,2024-07-30,2024-09-13,Мишин,13.0,58.0,2024-07
2024-07-17,АСН,ОСС,421200.0,2024-07-30,2024-10-07,Мишин,13.0,82.0,2024-07
2024-07-24,Бизнес-центр,ОЭЗиС,7430.0,2024-07-31,2024-07-24,Кузьмин,7.0,0.0,2024-07
2024-07-22,АМС,ОЭЗиС,64950.0,2024-08-07,2024-08-06,Кузьмин,16.0,15.0,2024-07
2024-07-29,АМС ОП АМВО,ОЭЗиС,16000.0,2024-07-30,2024-07-29,Кузьмин,1.0,0.0,2024-07
2024-07-12,Бизнес-центр,ОЭЗиС,32500.0,2024-08-11,2024-08-08,Басов,30.0,27.0,2024-07
2024-07-29,КМТ,ВИК,31000.0,2024-08-14,2024-07-29,Яблоков,16.0,0.0,2024-07
2024-07-29,АМС,ОЭЗиС,49750.0,2024-09-05,2024-08-07,Яблоков,38.0,9.0,2024-07
2024-07-31,Апарт-отель,ВИК,389613.84,,,Яблоков,,,2024-07
2024-07-31,АМС ОП АМВО,ОСС,47320.0,2024-08-01,2024-08-28,Мишин,1.0,28.0,2024-07
2024-07-31,Медтехника-1,ОСС,37336.17,2024-08-02,2024-08-15,Мишин,2.0,15.0,2024-07
2024-07-31,АМС ОП АМВО,ВИК,15084.0,2024-08-01,2024-07-31,Яблоков,1.0,0.0,2024-07
2024-08-01,АМС,ОЭЗиС,73200.0,2024-09-09,2024-09-04,Яблоков,39.0,34.0,2024-08
2024-08-02,Бизнес-центр,ОЭЗиС,38506.0,2024-08-07,2024-08-02,Басов,5.0,0.0,2024-08
2024-08-05,АМС ОП АМВО,ОЭЗиС,11500.0,2024-10-16,2024-08-05,Кузьмин,72.0,0.0,2024-08
2024-08-05,АМС ОП АМВО,ОЭЗиС,15000.0,2024-08-07,2024-08-05,Кузьмин,2.0,0.0,2024-08
2024-08-05,ААВ,ВИК,6000.0,2024-08-05,2024-09-04,Яблоков,0.0,30.0,2024-08
2024-08-06,АМС,ОЭЗиС,81016.0,2024-10-11,2024-09-23,Кузьмин,66.0,48.0,2024-08
2024-08-09,АМС ОП АМВО,ОЭЗиС,50327.73,2024-10-18,2024-10-17,Яблоков,70.0,69.0,2024-08
2024-08-13,Сервер,ОЭЗиС,112584.0,2024-09-12,2024-08-13,Басов,30.0,0.0,2024-08
2024-08-14,АМС ОП АМВО,ОЭЗиС,16000.0,2024-08-14,2024-08-14,Кузьмин,0.0,0.0,2024-08
2024-08-17,АСН ОП АСЯ,ОЭЗиС,5900.0,2024-08-17,2024-08-17,Кузьмин,0.0,0.0,2024-08
2024-08-17,Бизнес-центр,ОЭЗиС,134000.0,2024-08-18,2024-08-19,Кузьмин,1.0,2.0,2024-08
2024-08-19,АСН ОП АСЯ,ОСС,4435.2,2024-10-21,2024-10-01,Мишин,63.0,43.0,2024-08
2024-08-19,Бизнес-центр,ОЭЗиС,134000.0,2024-09-04,2024-08-19,Кузьмин,16.0,0.0,2024-08
2024-08-22,АМС ОП АМВО,ОЭЗиС,2750.0,2024-08-22,2024-08-22,Кузьмин,0.0,0.0,2024-08
2024-08-26,АСН ОП АСЯ,ВИК,8300.0,2024-08-27,2024-08-26,Кузьмин,1.0,0.0,2024-08
2024-08-30,Бизнес-центр,ОЭЗиС,34560.0,2024-08-30,2024-08-30,Басов,0.0,0.0,2024-08
2024-08-26,Формула,ОСС,2900.0,2024-09-20,2024-08-26,Мишин,25.0,0.0,2024-08
2024-08-30,Апарт-отель,ВИК,1556354.0,,,Яблоков,,,2024-08
2024-08-30,Апарт-отель,ВИК,796491.87,,,Яблоков,,,2024-08
2024-09-03,Бизнес-центр,ВИК,100573.8,2024-11-05,2024-11-05,Яблоков,63.0,63.0,2024-09
2024-09-04,Бизнес-центр,ОЭЗиС,12500.0,2024-09-11,2024-09-04,Басов,7.0,0.0,2024-09
2024-09-03,Апарт-отель,ВИК,278208.0,,2024-09-03,Яблоков,,0.0,2024-09
2024-09-03,АМС ОП АМВО,ОЭЗиС,9500.0,2024-09-10,2024-09-05,Басов,7.0,2.0,2024-09
2024-09-04,АМС ОП АМВО,ОЭЗиС,31000.0,2024-09-10,2024-09-04,Кузьмин,6.0,0.0,2024-09
2024-09-04,АМС ОП АМВО,ВИК,4500.0,2024-09-05,2024-09-04,Яблоков,1.0,0.0,2024-09
2024-09-06,АСН,ОСС,700454.44,2024-09-10,2024-10-07,Мишин,4.0,31.0,2024-09
2024-09-09,Сервер,ОЭЗиС,32860.25,2024-09-12,2024-10-02,Басов,3.0,23.0,2024-09
2024-09-10,Бизнес-центр,ОЭЗиС,14080.0,2024-09-11,2024-10-02,Басов,1.0,22.0,2024-09
2024-09-11,АМС,ОЭЗиС,78681.0,2024-09-13,2024-09-11,Кузьмин,2.0,0.0,2024-09
2024-09-13,АСН,ОСС,190800.0,2024-09-25,2024-09-13,Мишин,12.0,0.0,2024-09
2024-09-13,АСН,ОСС,180000.0,2024-09-25,2024-09-13,Мишин,12.0,0.0,2024-09
2024-09-13,АСН,ОСС,356400.0,2024-09-25,2024-09-13,Мишин,12.0,0.0,2024-09
2024-09-17,АСН ОП АСЯ,ОСС,16816.8,2024-09-17,2024-10-03,Мишин,0.0,16.0,2024-09
2024-09-17,АСН ОП АСЯ,ОСС,11183.04,2024-09-18,2024-10-03,Мишин,1.0,16.0,2024-09
2024-09-17,УМВД,ОЭЗиС,170000.0,2024-09-26,2024-09-17,Басов,9.0,0.0,2024-09
2024-09-18,Медтехника-1,ОСС,16964.29,2024-10-24,2024-09-18,Мишин,36.0,0.0,2024-09
2024-09-19,АМС ОП АМВО,ВИК,9850.0,2024-09-20,2024-09-19,Яблоков,1.0,0.0,2024-09
2024-09-19,АМС ОП АМВО,ОЭЗиС,7440.0,2024-10-21,2024-10-18,Яблоков,32.0,29.0,2024-09
2024-09-19,АСН ОП АСЯ,ВИК,19700.0,2024-09-24,2024-09-19,Яблоков,5.0,0.0,2024-09
2024-09-20,Бизнес-центр,ОЭЗиС,8151.29,2024-09-25,2024-09-24,Басов,5.0,4.0,2024-09
2024-09-20,Апарт-отель,ВИК,815661.83,,,Яблоков,,,2024-09
2024-09-20,Апарт-отель,ВИК,111926.01,,,Яблоков,,,2024-09
2024-09-20,Апарт-отель,ВИК,833652.8,,,Яблоков,,,2024-09
2024-09-24,Тектус.ИТ,ОСС,28500.0,2024-09-26,2024-10-02,Мишин,2.0,8.0,2024-09
2024-09-27,Тех,ОЭЗиС,20000.0,2024-10-17,2024-12-27,Яблоков,20.0,91.0,2024-09
2024-09-24,Поликлиника,ОЭЗиС,1274369.25,2024-10-10,2024-09-24,Кузьмин,16.0,0.0,2024-09
2024-10-02,КМТ,ВИК,9850.0,2024-10-02,2024-10-02,Яблоков,0.0,0.0,2024-10
2024-10-03,Бизнес-центр,ОЭЗиС,34560.0,2024-10-04,2024-10-03,Басов,1.0,0.0,2024-10
2024-10-03,Бизнес-центр,ОЭЗиС,64272.0,2024-10-07,2024-11-25,Басов,4.0,53.0,2024-10
2024-10-07,АСН,ОСС,421000.0,2024-10-24,2024-10-07,Мишин,17.0,0.0,2024-10
2024-10-07,АСН,ОСС,939150.38,2024-10-24,2024-10-07,Мишин,17.0,0.0,2024-10
2024-10-09,АМС,ОЭЗиС,21024.0,2024-10-30,2024-10-28,Яблоков,21.0,19.0,2024-10
2024-10-09,Поликлиника,ОЭЗиС,69800.0,2024-10-17,2024-10-09,Кузьмин,8.0,0.0,2024-10
2024-10-11,Телеком,ОЭЗиС,1084636.32,2024-10-21,2024-10-16,Кузьмин,10.0,5.0,2024-10
2024-10-16,Телеком,ОЭЗиС,723090.88,2024-10-22,2024-10-16,Кузьмин,6.0,0.0,2024-10
